"univ_id","univ_name","rating","city"
1,Академия народного хозяйства при Правительстве РФ,542,Москва
2,Московский физико-технический институт,470,Москва
3,Российская экономическая академия им. Г.В. Плеханова,429,Москва
4,Финансовая академия при правительстве РФ,421,Москва
5,Московский государственный институт международных отношений,392,Москва
6,Самарский муниципальный университет,383,Самара
7,Московская государственная юридическая академия,381,Москва
8,"Московский государственный университет экономики, статистики и информатики",380,Москва
9,Высшая школа экономики,377,
10,Санкт-Петербургский государственный технический университет,380,Санкт-Петербург
11,Московская медицинская академия им. И.М.Сеченова,374,Москва
12,Российский университет дружбы народов,367,Москва
13,Московский государственный технический  университет им. Н.Э.Баумана,359,Москва
14,Уральский государственный университет им. А.М.Горького,358,Екатеринбург
15,Новосибирский государственный университет,354,Новосибирск
16,Государственный университет управления,352,
17,Московский государственный инженерно-физический институт,345,Москва
18,Саратовский государственный университет им. Н.Г.Чернышевского,343,Саратов
19,Санкт-Петербургский государственный  институт точной механики и оптики,348,Санкт-Петербург
20,Московский государственный институт стали сплавов,342,Москва
21,Сибирский государственный медицинский университет,332,
22,Бурятский государственный университет,331,
23,Юридический институт Московского государственного университета путей сообщения,329,Москва
24,"Московский институт экономики, политики и права",325,Москва
25,Ставропольская государственная медицинская академия,325,Ставрополь
26,Всероссийская академия внешней торговли Минторга РФ,324,Москва
27,Российский новый университет,322,
28,Московский государственный университет пищевых производств,322,Москва
29,Санкт-Петербурская академия ветеринарной медицины,326,Санкт-Петербург
30,Российский государственный гуманитарный университет,317,Москва
31,Татарский институт содействия бизнесу,315,Казань
32,Московский государственный медико-стоматологический университет,311,Москва
33,Ярославский государственный университет им. П.Г.Демидова,306,Ярославль
34,Международный университет (Москва),306,Москва
35,Пермский государственный университет,303,Пермь
36,Таганрогский государственный радиотехнический университет,302,Таганрог
37,Омская государственная медицинская академия,302,Омск
38,Кубанский гоосударственный технологический университет,302,Краснодар
39,Волгоградская медицинская академия,297,Волгоград
40,Воронежский государственный университет,296,Воронеж
41,Российский химико-технологический университет им. Д.И.Менделеева,295,
42,Ростовский государственный университет,291,Ростов
43,Ставропольский государственный университет,291,Ставрополь
44,Международный институт гостиничного менеджмента и туризма,290,
45,Казанский государственный университет,289,Казань
46,Башкирский государственный медицинский университет,288,
47,Казанский государственный технологический университет,288,Казань
48,Санкт-Петербурская государственная  химико-фармацевтическая академия,292,Санкт-Петербург
49,Челябинская государственная медицинская академия,285,Челябинск
50,Российская правовая академия министерства юстиции РФ,284,
51,Российский государственный университет нефти и газа,284,
52,Новгородский государственный университет им. Ярослава Мудрого,280,Новгород
53,Челябинский государственный университет,279,Челябинск
54,Институт коммерции и права,279,
55,Российская международная академия туризма,278,
56,Томский политехнический университет,278,Томск
57,Московский банковский институт,278,Москва
58,Казанский финансово-экономический институт,276,Казань
59,Ульяновский государственный технический университет,275,Ульяновск
60,Курский государственный медицинский университет,274,Курск
61,"Санкт-Петербурский государственный   электротехнический университет ""ЛЭТИ""",274,Санкт-Петербург
62,Саратовский государственная академия права,268,Саратов
63,Тульский государственный университет,268,Тула
64,Вятский государственный технический университет,268,Вятка
65,Воронежская государственная медицинская академия им. Н.Н.Бурденко,266,Воронеж
66,Башкирский государственный университет,266,
67,Международный университет высоких технологий (Воронеж),264,Воронеж
68,Московский государственный институт электронной техники,264,Москва
69,Нижегородская государственная медицинская академия,262,Нижний Новгород
70,Московская международная высшая школа бизнеса МИРБИС,262,Москва
71,Московский государственный автомобильно-дорожный институт,260,Москва
72,Московский новый юридический институт,260,Москва
73,Астраханский государственный технический университет,259,Астрахань
74,Московский государственный текстильный университет им. А.Н.Косыгина,259,Москва
75,Ивановская государственная архитектурно-строительная академия,257,Иваново
76,Институт деловой карьеры,256,
77,Орловский государственный технический университет,256,Орел
78,Владимирский государственный университет,256,Владимир
79,Тульский государственный педагогический университет им. Л.Н.Толстого,256,Тула
80,Красноярский государственный университет,254,Красноярск
81,Московский государственный институт  электроники и математики (технический униPAR_TABLE,253,Москва
82,Оренбурская государственная медицинская академия,253,Оренбург
83,Московскитй педагогический университет,249,Москва
84,Московский государственный университет путей сообщения,249,Москва
85,Поморский государственный университет им. М.В.Ломоносова (Архангельск),248,
86,Ивановская государственная текстильная академия,247,Иваново
87,Кировская государственная медицинская академия,247,
88,Курский государственный технический университет,246,Курск
89,Сыктывкарский государственный университет,245,Сыктывкар
90,Астраханская государственная медицинская академия,245,Астрахань
91,Московский государственный университет прикладной биотехнологии,239,Курск
92,Челябинский государственный агроинженерный университет,237,Челябинск
93,Московский государственный университет дизайна и технологии,237,Москва
94,Ивановский государственный химико-технологический университет,236,Иваново
95,Институт международного права и экономики им. А.С.Грибоедова,236,
96,Алтайский государственный университет,236,
97,Саратовский государственный медицинский университет,234,Саратов
98,Белгородский государственный университет,231,Белгород
99,Институт международной торговли и права,225,
180,Новый университет,200,Воронеж
