"exam_id","student_id","subj_id","mark","exam_date"
676,150,1,3,2000-03-23
677,151,1,4,2000-02-16
678,151,10,2,2000-06-24
679,151,13,4,2000-02-20
680,151,6,4,2000-06-07
681,151,10,3,2000-05-22
682,151,3,1,2000-05-30
683,151,7,4,2000-03-20
684,152,9,4,2000-01-26
685,153,2,3,2000-02-27
686,153,11,2,2000-06-10
687,153,11,4,2000-05-03
688,154,12,5,2000-03-08
689,154,3,2,2000-05-19
690,154,1,2,2000-01-03
691,154,2,4,2000-01-05
692,155,11,3,2000-05-31
693,155,6,,2000-03-10
694,155,3,3,2000-04-06
695,155,1,,2000-02-01
696,155,11,4,2000-01-09
697,155,13,1,2000-06-13
698,156,9,5,2000-01-17
699,156,7,1,2000-06-08
700,156,14,4,2000-02-02
701,156,2,1,2000-03-22
702,156,3,1,2000-05-23
703,157,13,2,2000-06-18
704,157,7,4,2000-02-07
705,157,3,2,2000-05-06
706,158,11,4,2000-02-21
707,158,5,3,2000-05-04
708,158,6,5,2000-03-13
709,159,2,1,2000-02-20
710,159,6,3,2000-03-30
711,159,14,3,2000-01-09
712,159,7,3,2000-02-01
713,159,9,1,2000-03-30
714,159,2,1,2000-01-27
715,159,9,3,2000-01-22
716,160,3,2,2000-03-07
717,160,6,3,2000-04-17
718,160,9,5,2000-02-22
719,160,5,1,2000-01-19
720,160,4,3,2000-03-26
721,160,4,2,2000-03-26
722,160,8,5,2000-03-15
723,161,10,2,2000-01-06
724,161,13,5,2000-03-16
725,161,13,5,2000-02-27
726,162,11,5,2000-06-16
727,162,12,4,2000-03-19
728,162,7,5,2000-05-30
729,162,11,5,2000-04-30
730,162,13,4,2000-01-24
731,162,8,4,2000-02-04
732,162,7,2,2000-01-05
733,163,5,5,2000-06-08
734,163,1,5,2000-05-22
735,164,12,1,2000-06-06
736,164,14,5,2000-01-02
737,164,9,3,2000-01-08
738,164,5,5,2000-01-23
739,164,7,1,2000-04-15
740,164,11,3,2000-02-22
741,164,9,3,2000-04-23
742,165,7,4,2000-05-14
743,165,10,2,2000-01-10
744,165,9,3,2000-03-14
745,165,9,,2000-05-01
746,165,4,2,2000-05-21
747,165,5,5,2000-02-20
748,166,3,1,2000-02-08
749,167,6,1,2000-02-04
750,167,8,4,2000-03-07
751,167,3,3,2000-02-28
752,168,5,5,2000-04-09
753,168,4,4,2000-06-20
754,168,12,2,2000-01-23
755,168,5,1,2000-05-24
756,168,4,4,2000-05-22
757,168,13,3,2000-01-10
758,169,8,4,2000-03-09
759,169,3,2,2000-02-05
760,169,10,3,2000-02-25
761,170,10,3,2000-05-31
762,170,4,2,2000-02-04
763,170,5,,2000-01-31
764,170,10,5,2000-06-17
765,170,4,3,2000-01-11
766,170,4,4,2000-03-27
767,171,13,,2000-03-04
768,171,2,3,2000-06-23
769,171,4,3,2000-02-18
770,171,13,3,2000-05-19
771,171,2,3,2000-03-14
772,171,6,4,2000-02-06
773,171,11,2,2000-01-13
774,172,11,1,2000-03-22
775,172,10,4,2000-02-10
776,172,9,3,2000-01-24
777,172,12,2,2000-03-28
778,172,9,3,2000-03-17
779,173,11,3,2000-04-29
780,173,7,2,2000-02-26
781,173,7,1,2000-04-23
782,173,5,5,2000-04-19
783,174,5,5,2000-01-23
784,175,13,2,2000-03-13
785,175,7,3,2000-04-09
786,175,1,3,2000-05-21
787,175,13,4,2000-06-07
788,176,6,3,2000-04-04
789,176,7,5,2000-05-12
790,176,3,1,2000-04-01
