"lecturer_id","subj_id"
1,5
1,2
2,10
2,14
3,5
3,10
3,4
4,5
4,8
5,14
6,6
6,9
6,14
7,2
7,12
8,12
9,13
9,3
10,6
11,8
11,3
12,7
13,11
13,10
14,7
14,6
14,3
15,6
15,3
15,1
16,7
17,10
17,3
18,9
18,14
19,10
19,5
19,1
20,5
20,11
21,13
22,9
22,13
23,2
23,9
24,6
24,4
24,5
25,6
25,10
26,1
27,13
27,5
27,2
28,7
28,11
29,5
29,7
29,10
30,14
31,3
31,4
32,4
32,13
32,14
33,8
33,13
33,10
34,3
34,1
34,6
35,4
36,5
36,8
36,6
37,9
37,8
37,6
38,6
38,11
38,8
39,5
40,8
40,14
41,6
41,3
42,3
42,2
43,14
44,7
45,8
45,3
46,8
46,1
47,10
48,5
49,9
49,6
50,1
50,10
50,11
51,14
51,9
52,2
52,6
53,11
53,4
53,12
54,7
54,3
54,9
55,3
55,4
56,12
57,11
57,1
58,8
58,3
59,7
59,14
60,7
60,13
61,1
62,12
62,3
62,10
63,9
63,14
64,12
65,1
66,5
67,13
67,9
68,7
69,14
70,11
70,12
70,4
71,1
71,6
72,2
72,7
72,14
73,8
73,4
74,10
74,1
75,10
75,4
75,14
76,4
76,10
77,8
77,6
77,10
78,4
78,3
79,8
79,7
79,9
80,2
80,8
80,12
81,5
81,8
81,14
82,3
82,12
83,1
84,7
85,14
85,8
86,2
86,8
87,2
88,3
88,7
88,9
89,4
89,14
90,5
90,2
91,8
91,1
92,10
92,11
92,14
93,9
93,3
93,14
94,8
95,12
95,9
96,7
97,12
97,14
98,14
98,10
99,3
100,7
100,13
101,6
102,1
102,14
103,6
104,13
104,3
105,8
105,2
105,9
106,9
106,3
106,2
107,10
107,3
107,14
108,11
108,2
108,4
109,7
110,3
111,8
111,11
112,1
112,12
113,12
113,11
114,9
114,11
114,14
115,3
116,10
117,9
118,4
118,1
118,7
119,1
120,10
120,8
120,11
121,7
121,6
122,1
122,13
122,9
123,6
124,4
125,8
125,2
125,5
126,14
126,13
126,4
127,10
127,9
128,11
128,5
129,1
129,12
129,4
130,2
131,6
131,10
132,12
133,14
134,10
134,14
135,2
135,8
136,9
137,12
138,1
139,7
139,11
140,13
140,8
141,7
142,3
142,7
143,5
143,12
143,4
144,11
144,2
145,1
146,14
146,8
146,13
147,12
147,8
148,8
148,12
148,9
149,12
149,14
150,3
150,5
151,1
151,13
151,5
152,8
153,11
154,8
154,7
155,10
155,8
156,14
157,3
157,13
157,5
158,8
158,2
158,4
159,12
159,3
160,12
160,11
160,3
161,1
161,12
162,3
162,9
162,8
163,6
163,12
164,8
164,7
164,1
165,7
165,10
166,4
166,9
166,6
167,12
167,10
168,4
168,7
169,4
170,2
171,9
172,14
172,4
173,7
173,12
173,9
174,4
175,10
176,2
177,11
178,7
179,13
179,1
179,4
180,9
180,12
180,7
181,13
181,7
181,4
182,3
182,1
183,5
183,1
183,2
184,8
185,11
186,10
187,11
187,9
188,2
189,9
190,13
190,2
191,2
191,3
192,8
192,12
193,5
193,4
194,1
195,12
195,10
195,13
196,1
196,6
196,13
197,5
197,1
197,10
198,1
198,6
199,13
199,1
200,3
201,10
201,11
201,6
202,5
202,2
203,14
203,12
204,1
205,11
205,3
205,12
206,12
206,1
206,4
207,8
208,6
208,10
209,12
210,3
210,14
210,13
211,6
212,3
213,9
214,12
214,11
215,5
216,9
217,9
217,12
217,14
218,14
218,7
218,10
219,11
220,4
220,11
221,4
221,5
222,8
222,10
222,9
223,2
224,10
224,9
225,12
225,14
226,5
227,14
227,4
228,2
228,10
228,8
229,12
229,1
230,7
231,4
231,12
232,12
232,11
233,13
234,1
234,14
234,7
235,1
235,9
235,11
236,9
236,4
236,5
237,12
237,1
237,5
238,4
239,5
240,12
240,1
